type,section,name,key,value,status,severity,message,duration_seconds
kv,,,"hardware.model","MacBook Pro",,,,
kv,,,"hardware.model_id","Mac16,7",,,,
kv,,,"hardware.cpu","Apple M4 Pro",,,,
kv,,,"hardware.cores_physical","14",,,,
kv,,,"hardware.cores_logical","14",,,,
kv,,,"hardware.arch","arm64",,,,
kv,,,"hardware.serial","JR****5N",,,,
kv,,,"os.hostname","Ro****ro",,,,
kv,,,"os.system_version","macOS 26.3.1 (25D2128)",,,,
kv,,,"os.kernel_version","Darwin 25.3.0",,,,
kv,,,"os.boot_volume","Macintosh HD",,,,
kv,,,"os.time_since_boot","2 days, 30 minutes",,,,
kv,,,"uptime.current"," 9:36  up 2 days, 30 mins, 2 users, load averages: 3.44 5.58 5.25",,,,
kv,,,"uptime.last_boot","N/A",,,,
kv,,,"security.filevault","FileVault is On.",,,,
kv,,,"security.firewall","Firewall is blocking all non-essential incoming connections. (State = 2)",,,,
kv,,,"security.sip","Sy****d.",,,,
kv,,,"security.gatekeeper","assessments disabled",,,,
kv,,,"security.root_account","disabled",,,,
kv,,,"updates.xcode_clt","26.3.0.0.1.1771626560",,,,
kv,,,"users.count","****",,,,
kv,,,"users.admin_count","****",,,,
kv,,,"memory.used_gib","19.39",,,,
kv,,,"memory.free_gib","4.61",,,,
kv,,,"memory.total_gib","24.00",,,,
kv,,,"disk.root_used_percent","4%",,,,
kv,,,"network.gateway","10****.1",,,,
kv,,,"network.dns","75****76",,,,
kv,,,"network.ssid","****",,,,
kv,,,"runtime.git","git version 2.53.0",,,,
kv,,,"runtime.python3","Python 3.14.3",,,,
kv,,,"runtime.node","not_installed",,,,
kv,,,"runtime.go","not_installed",,,,
kv,,,"runtime.docker","Docker version 29.2.1, build a5c7197",,,,
kv,,,"runtime.ruby","ruby 2.6.10p210 (2022-04-12 revision 67958) [universal.arm64e-darwin25]",,,,
kv,,,"runtime.rustc","not_installed",,,,
kv,,,"runtime.java","The operation couldn’t be completed. Unable to locate a Java Runtime.",,,,
kv,,,"runtime.rosetta2","installed",,,,
kv,,,"pkg.brew_formula_count","57",,,,
kv,,,"pkg.brew_cask_count","2",,,,
kv,,,"pkg.mas","not_installed",,,,
kv,,,"pkg.pipx","no****ed",,,,
kv,,,"applications.count","39",,,,
kv,,,"mdm.enrollment","present",,,,
kv,,,"security_tool.SentinelOne","detected",,,,
kv,,,"security_tool.CrowdStrike","not_detected",,,,
kv,,,"security_tool.Defender","not_detected",,,,
kv,,,"security_tool.Sophos","not_detected",,,,
kv,,,"security_tool.Jamf","not_detected",,,,
kv,,,"security_tool.CarbonBlack","not_detected",,,,
kv,,,"security_tool.Netskope","detected",,,,
kv,,,"summary.risk_score","84",,,,
kv,,,"summary.risk_level","LOW",,,,
kv,,,"summary.findings_critical","0",,,,
kv,,,"summary.findings_warn","2",,,,
kv,,,"summary.findings_info","0",,,,
finding,,,,,,"WARN","Application Firewall is not enabled",
finding,,,,,,"WARN","Gatekeeper appears disabled",
check,"security","launch_signature_review",,,"SKIPPED","INFO","skipped in quick mode","0"
check,"updates","softwareupdate_list",,,"SKIPPED","INFO","skipped in quick mode","0"
check,"disk","home_du",,,"SKIPPED","INFO","skipped in quick mode","0"
check,"network","gateway_ping",,,"PASS","INFO","ok","0"
check,"network","dns_resolve",,,"PASS","INFO","ok","0"
check,"network","https_reachability",,,"PASS","INFO","ok","0"
